ReplayID,Duration,Frame,Minerals,Gas,Supply,TotalMinerals,TotalGas,TotalSupply,GroundUnitValue,BuildingValue,AirUnitValue,AObservedEnemyGroundUnitValue,AObservedEnemyBuildingValue,AObservedEnemyAirUnitValue,EnemyMinerals,EnemyGas,EnemySupply,EnemyTotalMinerals,EnemyTotalGas,EnemyTotalSupply,EnemyGroundUnitValue,EnemyBuildingValue,EnemyAirUnitValue,BObservedEnemyGroundUnitValue,BObservedEnemyBuildingValue,BObservedEnemyAirUnitValue,AObservedResourceValue,BObservedResourceValue,Winner
266,23849,0,50,0,8,50,0,18,200,400,0,0,0,0,50,0,8,50,0,18,200,400,0,0,0,0,238500,238500,A
266,23849,24,0,0,10,50,0,18,250,400,0,0,0,0,50,0,8,50,0,18,200,400,0,0,0,0,238500,238500,A
266,23849,120,0,0,10,50,0,18,250,400,0,0,0,0,0,0,10,50,0,18,250,400,0,0,0,0,238500,238500,A
266,23849,168,0,0,10,50,0,18,250,400,0,0,0,0,8,0,10,58,0,18,250,400,0,0,0,0,238500,238484,A
266,23849,192,0,0,10,50,0,18,250,400,0,0,0,0,16,0,10,66,0,18,250,400,0,0,0,0,238500,238476,A
266,23849,264,8,0,10,58,0,18,250,400,0,0,0,0,24,0,10,74,0,18,250,400,0,0,0,0,238476,238468,A
266,23849,288,16,0,10,66,0,18,250,400,0,0,0,0,32,0,10,82,0,18,250,400,0,0,0,0,238476,238460,A
266,23849,312,24,0,10,74,0,18,250,400,0,0,0,0,32,0,10,82,0,18,250,400,0,0,0,0,238476,238460,A
266,23849,336,24,0,10,74,0,18,250,400,0,0,0,0,40,0,10,90,0,18,250,400,0,0,0,0,238476,238452,A
266,23849,360,24,0,10,74,0,18,250,400,0,0,0,0,48,0,10,98,0,18,250,400,0,0,0,0,238476,238452,A
266,23849,408,40,0,10,90,0,18,250,400,0,0,0,0,48,0,10,98,0,18,250,400,0,0,0,0,238452,238452,A
266,23849,432,40,0,10,90,0,18,250,400,0,0,0,0,6,0,12,106,0,18,300,400,0,0,0,0,238452,238428,A
266,23849,456,48,0,10,98,0,18,250,400,0,0,0,0,14,0,12,114,0,18,300,400,0,0,0,0,238444,238428,A
266,23849,480,48,0,10,98,0,18,250,400,0,0,0,0,22,0,12,122,0,18,300,400,0,0,0,0,238444,238420,A
266,23849,504,6,0,12,106,0,18,300,400,0,0,0,0,22,0,12,122,0,18,300,400,0,0,0,0,238436,238420,A
266,23849,528,6,0,12,106,0,18,300,400,0,0,0,0,30,0,12,130,0,18,300,400,0,0,0,0,238436,238420,A
266,23849,552,22,0,12,122,0,18,300,400,0,0,0,0,30,0,12,130,0,18,300,400,0,0,0,0,238428,238420,A
266,23849,576,22,0,12,122,0,18,300,400,0,0,0,0,38,0,12,138,0,18,300,400,0,0,0,0,238428,238396,A
266,23849,624,22,0,12,122,0,18,300,400,0,0,0,0,4,0,12,154,0,18,300,400,0,0,0,0,238428,238388,A
266,23849,648,38,0,12,138,0,18,300,400,0,0,0,0,12,0,12,162,0,18,300,400,0,0,0,0,238404,238380,A
266,23849,696,46,0,12,146,0,18,300,400,0,0,0,0,20,0,12,170,0,18,300,400,0,0,0,0,238388,238372,A
266,23849,720,4,0,12,154,0,18,300,400,0,0,0,0,20,0,12,170,0,18,300,400,0,0,0,0,238388,238372,A
266,23849,744,12,0,12,162,0,18,300,400,0,0,0,0,28,0,14,178,0,18,350,400,0,0,0,0,238388,238356,A
266,23849,768,12,0,12,162,0,18,300,400,0,0,0,0,36,0,14,186,0,18,350,400,0,0,0,0,238388,238348,A
266,23849,792,12,0,12,162,0,18,300,400,0,0,0,0,44,0,14,194,0,18,350,400,0,0,0,0,238388,238348,A
266,23849,816,20,0,14,170,0,18,350,400,0,0,0,0,52,0,14,202,0,18,350,400,0,0,0,0,238364,238340,A
